NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
1,239119,239119,6966,524288,2761,1968,2197,4136,11062
1,240854,240854,7212,524288,1918,1734,2185,3796,9633
1,241626,241626,6960,524288,3112,1907,2192,3750,10961
1,241249,241249,6977,524288,1832,1698,2242,6041,11813
1,240503,240503,7062,524288,1655,1702,2168,4239,9764
1,239364,239364,6756,524288,1721,1670,2160,3525,9076
1,238647,238647,7176,524288,1749,1681,2169,3637,9236
1,237581,237581,6743,524288,1846,1715,2174,3586,9321
1,234996,234996,6860,524288,1766,1685,2212,3587,9250
1,231281,231281,7081,524288,1787,1682,2174,3574,9217
1,228143,228143,6848,524288,1869,1800,2176,3751,9596
1,225105,225105,7291,524288,1729,1681,2147,3746,9303
1,220901,220901,7308,524288,1743,1661,2181,3593,9178
1,214359,214359,7350,524288,1775,1691,2231,3659,9356
1,204991,204991,6910,524288,1717,1676,2165,3733,9291
1,195078,195078,7068,524288,1746,1685,2186,3692,9309
1,183641,183641,6543,524288,1738,1677,2210,3537,9162
1,170707,170707,6480,524288,1776,1719,2194,3624,9313
1,156799,156799,6256,524288,1760,1721,2181,3416,9078
1,143879,143879,5353,524288,1875,1699,2372,3645,9591
1,132667,132667,5225,524288,1639,1786,2184,3914,9523
1,120898,120898,5221,524288,1752,1698,2193,3369,9012
1,106792,106792,4890,524288,1747,1696,2168,3257,8868
1,93976,93976,4866,524288,1725,1745,2170,3246,8886
1,82019,82019,8592,1048576,1762,1676,2175,5700,11313
1,57185,57185,4740,524288,2650,1929,2192,3431,10202
1,61291,61291,7313,524288,1853,1749,2223,3758,9583
1,51195,51195,6608,524288,1868,1801,2169,3946,9784
1,58716,58716,4674,524288,1728,1672,2167,3261,8828
1,59831,59831,4710,524288,1778,1679,2139,3201,8797
1,60505,60505,4809,524288,1790,1771,2166,3208,8935
1,84234,84234,9146,262144,1750,1687,2146,2183,7766
1,89158,89158,11737,524288,1262,1661,2153,3195,8271
1,91482,91482,14210,524288,1879,1710,2106,3139,8834
1,93392,93392,15703,524288,2047,2023,2380,3915,10365
1,97274,97274,16954,524288,2106,1772,2162,3413,9453
1,105327,105327,17335,524288,1718,1760,2125,3188,8791
1,115873,115873,17854,524288,1742,1693,2115,3341,8891
1,126512,126512,16528,524288,1780,1692,2144,3482,9098
1,137503,137503,14656,524288,1724,1683,2014,3472,8893
1,144523,144523,13215,524288,2042,1734,2045,3676,9497
1,141306,141306,15981,524288,1879,1680,2155,3682,9396
1,144714,144714,17531,524288,2242,1985,2015,3711,9953
1,139882,139882,19796,524288,1941,1748,2068,3737,9494
1,132776,132776,20358,1048576,3032,1933,1981,5333,12279
1,106977,106977,8228,524288,2653,2129,2131,3595,10508
1,121992,121992,8998,524288,2109,2027,2153,3429,9718
1,135224,135224,19753,1048576,1833,1700,2074,5937,11544
1,149249,149249,19022,1048576,2985,1789,2135,6009,12918
1,161899,161899,17076,1048576,5084,1989,2163,8516,17752
1,171707,171707,17186,1048576,3807,1957,2240,6990,14994
1,176630,176630,17511,1048576,2993,2032,2217,8652,15894
1,176608,176608,14762,1048576,3650,2002,2061,6452,14165
1,174499,174499,13188,1048576,3631,1899,2149,5406,13085
1,171512,171512,12085,524288,2765,2013,2123,3806,10707
1,169403,169403,12572,524288,1905,1693,2147,3798,9543
1,168241,168241,10858,524288,2011,1711,2111,3850,9683
1,166787,166787,10353,524288,2200,2031,2235,3637,10103
1,165340,165340,8741,524288,2005,1733,2216,3758,9712
1,157508,157508,3516,524288,3151,1938,2075,3380,10544
1,148509,148509,7431,524288,3244,1814,2135,3718,10911
1,139139,139139,7749,524288,1891,1671,1980,3157,8699
1,129626,129626,7012,524288,1797,1708,2080,3264,8849
1,120901,120901,6773,524288,1948,2492,2072,4568,11080
0,0,0,0,0,3216,1944,1889,134,7183
0,0,0,0,0,517,1655,1890,138,4200
0,0,0,0,0,608,1695,2003,194,4500
0,0,0,0,0,560,1627,1932,374,4493
0,0,0,0,0,572,1636,1767,142,4117
0,0,0,0,0,550,1631,1807,132,4120
0,0,0,0,0,542,1632,1831,136,4141
0,0,0,0,0,553,1634,1831,135,4153
0,0,0,0,0,554,1645,1847,133,4179
0,0,0,0,0,554,1641,1808,134,4137
0,0,0,0,0,551,1648,1800,136,4135
0,0,0,0,0,555,1636,1829,134,4154
